Holdings details

Total Stock Market ETF (VTI)


Equity,as of 09/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2379504,NVIDIA Corp,NVDA,6.69%,Semiconductors,US,---,"$135,537,505,682.16","726,431,052"
,2588173,Microsoft Corp,MSFT,5.98%,Systems Software,US,---,"$121,149,378,781.65","233,901,687"
,2046251,Apple Inc,AAPL,5.87%,"Technology Hardware, Storage & Peripherals",US,---,"$118,910,815,391.49","466,994,523"
,2000019,Amazon.com Inc,AMZN,3.27%,Broadline Retail,US,---,"$66,319,048,613.61","302,040,573"
,B7TL820,Meta Platforms Inc,META,2.47%,Interactive Media & Services,US,---,"$50,122,513,804.22","68,251,469"
,BDZ78H9,Broadcom Inc,AVGO,2.41%,Semiconductors,US,---,"$48,829,948,748.28","148,009,908"
,BYVY8G0,Alphabet Inc,GOOGL,2.20%,Interactive Media & Services,US,---,"$44,486,120,478.80","182,995,148"
,B616C79,Tesla Inc,TSLA,1.89%,Automobile Manufacturers,US,---,"$38,368,224,670.80","86,275,015"
,BYY88Y7,Alphabet Inc,GOOG,1.75%,Interactive Media & Services,US,---,"$35,386,109,906.45","145,292,999"
,2073390,Berkshire Hathaway Inc,BRK/B,1.40%,Multi-Sector Holdings,US,---,"$28,318,646,396.88","56,328,612"
,2190385,JPMorgan Chase & Co,JPM,1.30%,Diversified Banks,US,---,"$26,344,769,431.11","83,520,177"
,2516152,Eli Lilly & Co,LLY,1.01%,Pharmaceuticals,US,---,"$20,453,087,872.00","26,806,144"
,B2PZN04,Visa Inc,V,0.89%,Transaction & Payment Processing Services,US,---,"$18,015,388,315.34","52,772,243"
,2857817,Netflix Inc,NFLX,0.79%,Movies & Entertainment,US,---,"$16,031,728,047.36","13,371,808"
,2326618,Exxon Mobil Corp,XOM,0.75%,Integrated Oil & Gas,US,---,"$15,124,164,808.50","134,138,934"
,2661568,Oracle Corp,ORCL,0.74%,Systems Software,US,---,"$14,915,241,098.96","53,033,854"
,B121557,Mastercard Inc,MA,0.71%,Transaction & Payment Processing Services,US,---,"$14,448,920,152.15","25,402,015"
,2936921,Walmart Inc,WMT,0.70%,Consumer Staples Merchandise Retail,US,---,"$14,233,683,589.00","138,110,650"
,2475833,Johnson & Johnson,JNJ,0.69%,Pharmaceuticals,US,---,"$14,052,118,855.32","75,785,346"
,2701271,Costco Wholesale Corp,COST,0.64%,Consumer Staples Merchandise Retail,US,---,"$12,915,371,853.43","13,953,061"
,B92SR70,AbbVie Inc,ABBV,0.64%,Biotechnology,US,---,"$12,872,130,798.54","55,593,551"
,2434209,Home Depot Inc/The,HD,0.63%,Home Improvement Retail,US,---,"$12,685,843,707.77","31,308,383"
,BN78DQ4,Palantir Technologies Inc,PLTR,0.61%,Application Software,US,---,"$12,402,947,954.46","67,991,163"
,2704407,Procter & Gamble Co/The,PG,0.56%,Household Products,US,---,"$11,325,651,667.05","73,710,717"
,2917766,UnitedHealth Group Inc,UNH,0.49%,Managed Health Care,US,---,"$9,841,361,805.90","28,500,903"
,2295677,Bank of America Corp,BAC,0.49%,Diversified Banks,US,---,"$9,827,608,417.55","190,494,445"
,BL59CR9,General Electric Co,GE,0.47%,Aerospace & Defense,US,---,"$9,536,411,538.16","31,701,388"
,2838555,Chevron Corp,CVX,0.47%,Integrated Oil & Gas,US,---,"$9,503,141,903.13","61,196,097"
,2649100,Wells Fargo & Co,WFC,0.42%,Diversified Banks,US,---,"$8,447,938,176.48","100,786,664"
,2005973,International Business Machines Corp,IBM,0.41%,IT Consulting & Other Services,US,---,"$8,271,303,983.28","29,314,233"
,2007849,Advanced Micro Devices Inc,AMD,0.41%,Semiconductors,US,---,"$8,262,826,597.74","51,071,306"
,B2PKRQ3,Philip Morris International Inc,PM,0.39%,Tobacco,US,---,"$7,947,253,061.60","48,996,628"
